stopid,name_t,name_e,lat,lon
594,กรมบังคับคดี,Legal Execution Department,13.777193614,100.46514751
595,แยกชักพระ,Chak Phra Intersection,13.781268158,100.46477298
596,บางขุนนนท์ทาวเวอร์(ชักพระ1),Bangkhunnon Tower (Soi Chak Phra 1),13.781314057,100.464041
597,ตรงข้ามสำนักงานเขตตลิ่งชัน,Taling Chan District Office (Opposite),13.777567088,100.45527854
598,แยกชักพระ(ธนาคารออมสิน),Chak Phra Intersection (Government Savings Bank),13.781275824,100.46483519
599,ตรงข้ามกรมบังคับคดี,Legal Execution Department (Opposite),13.7771693893349,100.465323412596
600,ตรงข้ามวัดเจ้าอาม,Wat Chao Nam (Opposite),13.7758653099855,100.465950072176
601,ตรงข้ามองค์การสวนยาง,Rubber Estate Organization (Opposite),13.7702497271085,100.468877105686
602,สำนักงานไปรษณีย์บางขุนนนท์(ซอยรุ่งเพชร),Post Office Bangkhunnon (Soi Rung Phet),13.7682959650461,100.470168965018
603,ตรงข้ามตลาดบางขุนนนท์,Bang Khun Non Market (Opposite),13.764375071,100.47357198
604,สุนทรีย์พระประแดง,Suntharee Phrapradaeng,13.66471217,100.52682927
605,หน้าบริษัทหัวไผ่เซ็นเตอร์จำกัด,Hua Phai Center Company Limited,13.667200879,100.52317607
606,ตรงข้ามซอยพระราชวิริยาภรณ์ 16,Soi Phraratchawiriyaphon 16 (Opposite),13.667928323,100.52183078
607,ซอยราษฏ์บูรณะ 46,Soi Rat Burana 46,13.67210761,100.51867437
608,ชุมชนแจงร้อน,Chaengron Community,13.6754899282566,100.517151540065
609,ตรงข้ามซอยราษฏ์บูรณะ 46,Soi Rat Burana 46 (Opposite),13.67203095,100.51889877
610,ท่าจอดรถสาย 37 ซอยราษฎร์บูรณะ 39,Bus Terminal Line 37  Soi Rat Burana 39,13.670823272,100.51906146
611,ซอยบูรณะสุดเขต 4,Soi Burana Sutket 4,13.669332556038,100.519353824561
612,ซอยพระราชวิริยาภรณ์ 16,Soi Phraratchawiriyaphon 16,13.66809642,100.52167705
613,ตรงข้ามบริษัทหัวไผ่เซ็นเตอร์จำกัด,Hua Phai Center Company Limited (Opposite),13.667363106,100.52310171
614,ตรงข้ามกระทรวงมหาดไทย,Ministy of the Interior (Opposite),13.75108123,100.49612681
615,วัดราชประดิษฐ์,Wat Ratchapradit,13.74922008,100.49616186
616,อู่สวนสยาม,Bus Depot Suan Siam,13.8012502183965,100.693660465018
617,ตรงข้ามตลาดนางลิ้นจี่,Nang Linjee Market,13.7081429520913,100.542986105439
618,สถานเอกอัครราชทูตอังกฤษ,British Embassy,13.7450971058906,100.547768982816
619,รัตนคลินิค หมู่บ้านซื่อตรง,Ratana Clinic  Sue Trong Village,13.8700795530871,100.467389622176
620,วัดมะเดื่อ,Wat Maduea,13.8747220071164,100.423006152349
621,วัดไผ่เหลือง,Wat Phai Lueang,13.8755773614571,100.427527530173
622,โรงเรียนเพชรรัตน์,Petcharat School,13.8483772049223,100.543331726737
623,ตรงข้ามประกันสังคมซอย 46,Social Security Office Soi 46 (Opposite),13.8463709063079,100.542850617824
624,หมู่บ้านประชานิเวศน์ 1,Pracha Niwet 1 Village,13.841291795,100.54163072
625,หมู่บ้านชลนิเวศน์,Chon Niwet Village,13.8385967532672,100.541031885649
626,บริษัทซีเมนต์ไทย ตรงข้ามปั๊มน้ำมันปตท,Cement Thai Village,13.8352794630397,100.540270701632
627,ซอยคลังมนตรี,Soi Khlang Montri,13.8271387330584,100.53835156021
628,ซอยเสริมสุข,Soi Soem Suk,13.824480707,100.53769741
629,เทคนิควิมล,Wimol Business Administration Technological College,13.819088754,100.53644611
630,สะพาน 99,Bridge 99,13.817156684,100.5359989
631,ตรงข้ามอาคารสุขประพฤติ(DSI),Sukpraprut Building (Opposite),13.813057008,100.53504586
